Assembly Accession	Organism Name	Assembly Level	Assembly Status	Assembly Stats Total Sequence Length	Assembly Stats Number of Contigs	Assembly BioSample Accession	Assembly BioSample Isolation source	Assembly BioSample Geographic location	Assembly BioSample Host	candidate_group	keyword_hits	species
GCF_000817575.1	Bacillus amyloliquefaciens	Scaffold	current	3987635	182	SAMN03223812	soybean root	China: Heilongjiang	Glycine max	non_saline_candidate		Bacillus amyloliquefaciens
GCF_001191605.1	Bacillus altitudinis	Complete Genome	current	3681784	2	SAMN02905161	soil	China		non_saline_candidate		Bacillus altitudinis
GCF_001431145.1	Bacillus altitudinis	Complete Genome	current	3793419	1	SAMN03940121	soil	China: Nanjing		non_saline_candidate		Bacillus altitudinis
GCF_001431285.1	Bacillus amyloliquefaciens	Scaffold	current	3978182	68	SAMN04009787	rhizosphere	India: Telangana State		non_saline_candidate		Bacillus amyloliquefaciens
GCF_001431785.1	Bacillus altitudinis	Complete Genome	current	3787818	1	SAMN04009761	soil	China:Zhongshan moutain Nanjing		non_saline_candidate		Bacillus altitudinis
GCF_001586105.1	Bacillus amyloliquefaciens	Complete Genome	current	3935930	2	SAMN04275172	soil	Democratic Republic of the Congo: Iturie province	plant	non_saline_candidate		Bacillus amyloliquefaciens
GCF_001700735.1	Bacillus altitudinis	Complete Genome	current	3792999	1	SAMN03965497	soil	China: Zhongshan Moutain, Nanjing		non_saline_candidate		Bacillus altitudinis
GCF_001874385.1	Bacillus amyloliquefaciens	Complete Genome	current	3957164	1	SAMN05969227	rhizosphere of peanut	China: Linyi, Shandong		non_saline_candidate		Bacillus amyloliquefaciens
GCF_002741745.1	Bacillus altitudinis	Complete Genome	current	3765752	1	SAMN07811392	rhizosphere of rice from organic rice farming	Indonesia: Central Java, Semarang, Banyubiru		non_saline_candidate		Bacillus altitudinis
GCF_003868675.1	Bacillus amyloliquefaciens	Complete Genome	current	4009619	1	SAMN09939790	rhizosphere of Lolium perenne L. on a rock phosphorus mine	China: Guizhou		non_saline_candidate		Bacillus amyloliquefaciens
GCF_004563755.2	Bacillus altitudinis	Complete Genome	current	3867833	1	SAMN10857349	rhizosphere soil	Malaysia: Cameron Highlan	Solanum lycopersicum	non_saline_candidate		Bacillus altitudinis
GCF_005849435.1	Bacillus altitudinis	Complete Genome	current	3891368	2	SAMN11534966	Lycium barbarum rhizosphere soil	China:Ningxia Hui Autonomous Region		non_saline_candidate		Bacillus altitudinis
GCF_008808015.1	Bacillus amyloliquefaciens	Complete Genome	current	3904474	1	SAMN12794366	grape plant	missing		non_saline_candidate		Bacillus amyloliquefaciens
GCF_008824205.1	Bacillus amyloliquefaciens	Complete Genome	current	4118763	1	SAMN12860423	soil	South Korea		non_saline_candidate		Bacillus amyloliquefaciens
GCF_013122255.1	Bacillus amyloliquefaciens	Complete Genome	current	4026648	1	SAMN14897115	soil	Taiwan: Taichung		non_saline_candidate		Bacillus amyloliquefaciens
GCF_013283915.1	Bacillus altitudinis	Complete Genome	current	3879167	1	SAMN15053797	potato plant	Belarus: Babruysk District		non_saline_candidate		Bacillus altitudinis
GCF_013328835.1	Bacillus amyloliquefaciens	Complete Genome	current	4006790	1	SAMN15097872	soil	China		non_saline_candidate		Bacillus amyloliquefaciens
