KO	gene	module
K01505	acdS	phytohormone_stress
K04103	ipdC	phytohormone_stress
K01077	phoA	nutrient_acquisition
K01113	phoD	nutrient_acquisition
K07657	phoR	nutrient_acquisition
K07636	phoP	nutrient_acquisition
K00117	gcd	nutrient_acquisition
K03833	dhbA	nutrient_acquisition
K03834	dhbB	nutrient_acquisition
K03835	dhbC	nutrient_acquisition
K03836	dhbE	nutrient_acquisition
K03837	dhbF	nutrient_acquisition
K01915	glnA	nutrient_acquisition
K00372	nasA	nutrient_acquisition
K00366	nirA	nutrient_acquisition
K16531	spo0A	colonization_persistence
K06390	flgB	colonization_persistence
K02406	fliC	colonization_persistence
K02556	motA	colonization_persistence
K02557	motB	colonization_persistence
K03407	cheA	colonization_persistence
K03413	cheY	colonization_persistence
