Assembly Accession	Organism Name	Assembly Level	Assembly Status	Assembly Stats Total Sequence Length	Assembly Stats Number of Contigs	Assembly BioSample Accession	Assembly BioSample Isolation source	Assembly BioSample Geographic location	Assembly BioSample Host	candidate_group	keyword_hits	species_clean
GCF_001457015.1	Bacillus altitudinis	Scaffold	current	3615064	26	SAMN04263913	marine sediment	India: Chora Island		saline_candidate	marine sediment	Bacillus altitudinis
GCF_002024555.1	Bacillus amyloliquefaciens	Scaffold	current	4016659	19	SAMN06190352	salt lake	Algeria: Ain Baida-Ouargla		saline_candidate	salt;salt lake	Bacillus amyloliquefaciens
GCF_024262145.1	Bacillus altitudinis	Scaffold	current	3714049	13	SAMN29198483	mangrove soil	Philippines: Palawan		saline_candidate	mangrove	Bacillus altitudinis
GCF_003003625.1	Bacillus atrophaeus	Scaffold	current	4102978	11	SAMN08647223	soil from salt lake	China: Qinghai, Qinghai lake		saline_candidate	salt;salt lake	Bacillus atrophaeus
GCF_003003645.1	Bacillus atrophaeus	Scaffold	current	4281282	13	SAMN08647208	soil from salt lake	China: Qinghai, Qinghai lake		saline_candidate	salt;salt lake	Bacillus atrophaeus
GCF_037104725.1	Bacillus bruguierae	Scaffold	current	5096950	50	SAMN39644991	marine sediment	China: Fujian		saline_candidate	marine sediment	Bacillus bruguierae
GCF_027706145.1	Bacillus changyiensis	Scaffold	current	3712035	27	SAMN32210672	coastal deposit	China:Changyi		saline_candidate	coastal	Bacillus changyiensis
GCF_003003575.1	Bacillus halotolerans	Scaffold	current	3739092	20	SAMN08648019	salt lake	China: Qinghai, Qinghai lake		saline_candidate	salt;salt lake	Bacillus halotolerans
GCF_004006435.1	Bacillus halotolerans	Complete Genome	current	4154245	1	SAMN09095924	dry salty rhizosphere soil of maize	China: Inner Mongolia		saline_candidate	salt	Bacillus halotolerans
GCF_012955605.1	Bacillus fonticola	Complete Genome	current	3159449	1	SAMN14639288	marine sediments	China: South China Sea		saline_candidate	marine sediment	Bacillus fonticola
GCF_013347105.1	Bacillus halotolerans	Complete Genome	current	4248134	1	SAMN15143341	saline-alkali rhizosphere soil of Androsace umbellata in Hoh Xil	China:Qinghai		saline_candidate	saline;saline-alkali	Bacillus halotolerans
GCF_014042035.1	Bacillus haynesii	Complete Genome	current	4235749	1	SAMN15637804	Saline-alkali environment	China: Kashgar	Populus euphratica Oliv	saline_candidate	saline;saline-alkali	Bacillus haynesii
GCF_034427495.1	Bacillus inaquosorum	Scaffold	current	4191974	23	SAMN38703111	coastal mudflats	China: Jiaozhou Bay		saline_candidate	coastal	Bacillus inaquosorum
GCF_037201805.1	Bacillus kandeliae	Chromosome	current	3740334	3	SAMN39644993	marine sediment	China: Fujian	sediment	saline_candidate	marine sediment	Bacillus kandeliae
GCF_000258125.2	Bacillus licheniformis WX-02	Chromosome	current	4286821	3	SAMN02469900	soil from Yingcheng Salt Mine	China: Hubei Province		saline_candidate	salt	Bacillus licheniformis
